Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017
Afghanistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Albania,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,-18
Algeria,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,1000 ,<1000 , 1100,1100 ,<1000 , 1100,1100 ,1000 , 1200,1200 ,1100 , 1300,1200 ,1100 , 1300,1200 ,1200 , 1400,39
Angola,26 000 ,21 000 , 32 000,27 000 ,22 000 , 33 000,28 000 ,22 000 , 34 000,27 000 ,22 000 , 34 000,27 000 ,21 000 , 34 000,26 000 ,20 000 , 34 000,26 000 ,20 000 , 35 000,27 000 ,20 000 , 37 000,1
Argentina,6000 ,5200 , 6700,6100 ,5300 , 6800,6100 ,5300 , 6900,6200 ,5400 , 6900,6300 ,5400 , 7000,6300 ,5500 , 7100,6400 ,5600 , 7200,6500 ,5600 , 7200,8
Armenia,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,-27
Australia,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,1000 ,<1000 , 1100,8
Austria,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,-35
Azerbaijan,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,6
Bahamas,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <200,<200 ,<200 , <200,-38
Bahrain,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,5
Bangladesh,1500 ,1400 , 1700,1400 ,1300 , 1600,1500 ,1300 , 1600,1500 ,1300 , 1600,1500 ,1300 , 1700,1600 ,1400 , 1700,1600 ,1500 , 1800,1700 ,1500 , 1800,10
Barbados,<200 ,<200 , <500,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,-10
Belarus,1800 ,1400 , 2500,2100 ,1600 , 2900,2300 ,1800 , 3200,2500 ,1500 , 3700,2600 ,1600 , 4000,2700 ,1600 , 4200,2600 ,1600 , 4200,2400 ,1500 , 3900,34
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Belize,<500 ,<500 , 4700,<500 ,<500 , 4700,<500 ,<500 , 4800,<500 ,<500 , 4800,<500 ,<500 , 4800,<500 ,<500 , 4900,<500 ,<500 , 4900,<500 ,<500 , 4900,23
Benin,4300 ,2200 , 7300,4400 ,2300 , 7400,4400 ,2300 , 7500,4500 ,2300 , 7700,4600 ,2400 , 7800,4300 ,2200 , 7300,4000 ,2100 , 6800,4000 ,2100 , 6800,-8
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Bolivia (Plurinational State of),1500 ,<1000 , 2300,1500 ,<1000 , 2300,1400 ,<1000 , 2400,1400 ,<1000 , 2500,1500 ,<1000 , 2600,1500 ,<1000 , 2700,1500 ,<1000 , 2800,1500 ,<1000 , 2800,-2
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Botswana,13 000 ,9700 , 15 000,14 000 ,10 000 , 16 000,14 000 ,10 000 , 16 000,14 000 ,10 000 , 16 000,15 000 ,11 000 , 17 000,15 000 ,11 000 , 17 000,14 000 ,10 000 , 17 000,14 000 ,10 000 , 16 000,4
Brazil,47 000 ,34 000 , 60 000,47 000 ,34 000 , 61 000,47 000 ,34 000 , 61 000,48 000 ,34 000 , 62 000,48 000 ,34 000 , 62 000,48 000 ,34 000 , 62 000,48 000 ,35 000 , 63 000,48 000 ,35 000 , 63 000,3
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Bulgaria,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,-14
Burkina Faso,4200 ,2500 , 6000,4200 ,2500 , 6100,4100 ,2300 , 6000,4300 ,2500 , 6300,4200 ,2500 , 6600,4100 ,2500 , 6400,4200 ,2600 , 6600,4300 ,2600 , 6700,1
Burundi,3100 ,1900 , 4300,3100 ,2000 , 4400,3200 ,2000 , 4500,3200 ,2000 , 4500,3300 ,2000 , 4700,3200 ,1900 , 4600,3100 ,1900 , 4600,3100 ,1800 , 4600,-2
Cabo Verde,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,11
Cambodia,1600 ,1400 , 1800,1300 ,1200 , 1500,1100 ,1000 , 1300,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,-63
Cameroon,34 000 ,28 000 , 39 000,33 000 ,26 000 , 39 000,32 000 ,25 000 , 37 000,30 000 ,23 000 , 36 000,30 000 ,23 000 , 36 000,29 000 ,21 000 , 36 000,29 000 ,20 000 , 37 000,28 000 ,19 000 , 36 000,-19
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Central African Republic,9500 ,8000 , 11 000,9500 ,8000 , 12 000,9400 ,7800 , 12 000,9400 ,7700 , 11 000,8900 ,7200 , 11 000,8300 ,6700 , 10 000,7800 ,6100 , 10 000,7700 ,5900 , 10 000,-19
Chad,6300 ,4800 , 7700,6200 ,4500 , 7600,6100 ,4300 , 7700,5900 ,4000 , 7400,6100 ,4100 , 7600,5600 ,3600 , 7300,5600 ,3500 , 7300,5800 ,3700 , 7700,-8
Chile,3200 ,2700 , 3600,3500 ,3000 , 4000,3800 ,3200 , 4400,4200 ,3500 , 4900,4600 ,3800 , 5300,5000 ,4200 , 5900,5500 ,4500 , 6400,6000 ,4800 , 7100,85
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Comoros,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-8
Congo,7200 ,6000 , 8300,7300 ,6200 , 8300,7500 ,6400 , 8400,7700 ,6700 , 8700,7800 ,6800 , 8900,7900 ,6800 , 9100,7800 ,6700 , 9000,7900 ,6800 , 9200,10
Costa Rica,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,1000 ,<1000 , 1100,1100 ,<1000 , 1200,47
Croatia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Cuba,2200 ,1800 , 2500,2200 ,1900 , 2600,2300 ,1900 , 2600,2300 ,1900 , 2600,2200 ,1800 , 2500,2100 ,1800 , 2400,2000 ,1700 , 2300,1800 ,1500 , 2200,-15
Cyprus,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,40
Czech Republic,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,91
Côte d'Ivoire,29 000 ,13 000 , 54 000,30 000 ,13 000 , 57 000,31 000 ,13 000 , 57 000,31 000 ,13 000 , 58 000,32 000 ,14 000 , 59 000,32 000 ,14 000 , 59 000,31 000 ,13 000 , 58 000,30 000 ,13 000 , 56 000,3
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,
Democratic Republic of the Congo,23 000 ,17 000 , 30 000,21 000 ,15 000 , 28 000,20 000 ,14 000 , 26 000,18 000 ,12 000 , 25 000,17 000 ,11 000 , 24 000,17 000 ,9800 , 24 000,16 000 ,9000 , 23 000,15 000 ,8200 , 23 000,-35
